feature,importance_mean,importance_std
m_bb,0.07975132528645722,0.012376728490946383
m_wwbb,0.07282971142490352,0.004717155753699828
m_wbb,0.040191397545048135,0.005189547189381994
m_jlv,0.023902924268174152,0.004834346273355574
m_jjj,0.01691569924098566,0.006609615096390401
jet_1_pt,0.013493592533705157,0.004908211286486919
missing_energy_magnitude,0.007549642689675428,0.003807370952565995
lepton_pT,0.007147732826069719,0.0029015186856564176
m_lv,0.0013790854071142333,0.0021801690328184273
jet_4_phi,0.0013574835602436664,0.0035575157607866
jet_2_pt,0.0011716367055567777,0.004054098279223146
m_jj,0.0011634204394639247,0.00360274049953744
jet_4_b_tag,0.0009232410146917891,0.00197648266694474
jet_3_pt,0.0004784158958097029,0.0016594865922073042
jet_1_phi,-0.0007355981981249426,0.0029296177006942195
jet_2_eta,-0.0011708392008231705,0.0021528483056256825
jet_2_phi,-0.0012335949603799246,0.002269277074409283
jet_4_pt,-0.002630446372900408,0.004965511456854968
jet_3_b_tag,-0.0027175567716826166,0.0020673942642553704
lepton_phi,-0.00277839630789205,0.0026465925811798826
jet_1_b_tag,-0.00288436690155639,0.002072660823409235
jet_1_eta,-0.002888117847172511,0.0016834981238660848
jet_3_eta,-0.0031377117470135496,0.0034043247689790677
jet_2_b_tag,-0.0031728790542833287,0.002208545095594032
missing_energy_phi,-0.0031824895935455124,0.0030451262562308885
lepton_eta,-0.0032609614642900575,0.004448744750015133
jet_3_phi,-0.005199592892280891,0.0025459573722346764
jet_4_eta,-0.005330449541133664,0.002317411018628088
