,precision,recall,f1-score,support
0,0.6320754716981132,0.603,0.617195496417605,1000.0
1,0.6204588910133844,0.649,0.6344086021505376,1000.0
accuracy,0.626,0.626,0.626,0.626
macro avg,0.6262671813557488,0.626,0.6258020492840712,2000.0
weighted avg,0.6262671813557488,0.626,0.6258020492840712,2000.0
