feature,importance_mean,importance_std
m_wwbb,0.09107394662413232,0.009436372919362826
m_bb,0.06539552704009859,0.008720090591717973
m_wbb,0.033881389750498384,0.00729401374184502
jet_1_pt,0.018422675055052795,0.006895514375530309
missing_energy_magnitude,0.014681469959167581,0.005316834465491149
m_lv,0.0072134345024734035,0.004001881932341225
m_jjj,0.007080614283828945,0.004481833775720197
m_jlv,0.005001808438365218,0.005894967591037172
lepton_pT,0.0034086316360165125,0.004945768725255693
lepton_eta,0.002826084513192584,0.004911242072243131
jet_2_phi,0.0024435334143152352,0.0010954207813803833
m_jj,0.00202329675052475,0.0019860788169279763
jet_4_pt,0.0017406246358736333,0.00516955291758313
jet_3_b_tag,0.0014634318115634426,0.0033381829605432407
jet_3_eta,0.001429254880259323,0.001588482340587349
jet_3_phi,0.001083721550825123,0.0013014325037378673
missing_energy_phi,0.0007990915496346784,0.002265067442979701
jet_1_phi,0.0005968410643550137,0.0010399450990897067
jet_2_b_tag,0.00045316757740442303,0.002207523338706824
jet_1_eta,0.00012952913961779,0.001104117708521941
jet_4_eta,7.139785222679552e-05,0.0013935044063317684
jet_4_b_tag,-7.066284936285694e-05,0.004289620495523473
jet_2_eta,-0.00016305621685381856,0.0024616731680089407
jet_4_phi,-0.00019344052471391703,0.002545545599544122
jet_2_pt,-0.00039088295104202644,0.003534499759845975
jet_1_b_tag,-0.0007167039015327115,0.004987992476969941
jet_3_pt,-0.0026987361849795,0.0024607094174163664
lepton_phi,-0.002700441150148769,0.003003816182048536
