,precision,recall,f1-score,support
0,0.6998011928429424,0.704,0.7018943170488534,1000.0
1,0.7022132796780685,0.698,0.7001003009027081,1000.0
accuracy,0.701,0.701,0.701,0.701
macro avg,0.7010072362605054,0.701,0.7009973089757808,2000.0
weighted avg,0.7010072362605054,0.701,0.7009973089757807,2000.0
